Time(s)	V(m/s)	xb(m)	xt(m)
43.620	11.588	0.615	0.287
43.630	11.504	0.618	0.287
43.640	11.426	0.621	0.287
43.650	11.361	0.625	0.288
43.660	11.315	0.628	0.288
43.670	11.289	0.631	0.289
43.680	11.286	0.634	0.289
43.690	11.306	0.637	0.290
43.700	11.345	0.640	0.290
43.710	11.402	0.643	0.291
43.720	11.470	0.646	0.291
43.730	11.546	0.649	0.292
43.740	11.622	0.652	0.292
43.750	11.695	0.655	0.293
43.760	11.758	0.658	0.293
43.770	11.809	0.661	0.294
43.780	11.845	0.664	0.294
43.790	11.864	0.667	0.295
43.800	11.868	0.670	0.296
43.810	11.858	0.673	0.296
43.820	11.835	0.676	0.297
43.830	11.803	0.679	0.297
43.840	11.765	0.681	0.298
43.850	11.724	0.684	0.299
43.860	11.683	0.687	0.300
43.870	11.643	0.690	0.300
43.880	11.606	0.692	0.301
43.890	11.573	0.695	0.302
43.900	11.544	0.697	0.303
43.910	11.518	0.700	0.303
43.920	11.494	0.702	0.304
43.930	11.472	0.704	0.305
43.940	11.450	0.706	0.306
43.950	11.428	0.708	0.307
43.960	11.406	0.710	0.308
43.970	11.385	0.712	0.308
43.980	11.364	0.713	0.309
43.990	11.347	0.715	0.310
44.000	11.333	0.716	0.311
44.010	11.325	0.717	0.312
44.020	11.324	0.718	0.313
44.030	11.331	0.719	0.314
44.040	11.345	0.720	0.315
44.050	11.366	0.721	0.316
44.060	11.393	0.721	0.317
44.070	11.423	0.722	0.318
44.080	11.455	0.722	0.319
44.090	11.486	0.722	0.321
44.100	11.512	0.722	0.322
44.110	11.531	0.722	0.323
44.120	11.541	0.722	0.324
44.130	11.540	0.722	0.325
44.140	11.528	0.722	0.326
44.150	11.506	0.722	0.327
44.160	11.475	0.721	0.329
44.170	11.436	0.721	0.330
44.180	11.392	0.720	0.331
44.190	11.348	0.719	0.332
44.200	11.304	0.718	0.334
44.210	11.265	0.717	0.335
44.220	11.231	0.716	0.336
44.230	11.206	0.715	0.337
44.240	11.189	0.714	0.339
44.250	11.180	0.713	0.340
44.260	11.178	0.711	0.341
44.270	11.181	0.710	0.343
44.280	11.188	0.708	0.344
44.290	11.196	0.706	0.345
44.300	11.203	0.704	0.347
44.310	11.208	0.702	0.348
44.320	11.209	0.700	0.349
44.330	11.207	0.698	0.351
44.340	11.200	0.696	0.352
44.350	11.190	0.694	0.353
44.360	11.179	0.691	0.355
44.370	11.167	0.689	0.356
44.380	11.158	0.687	0.357
44.390	11.153	0.684	0.359
44.400	11.153	0.682	0.360
44.410	11.159	0.679	0.362
44.420	11.172	0.677	0.363
44.430	11.190	0.674	0.364
44.440	11.214	0.671	0.366
44.450	11.242	0.669	0.367
44.460	11.271	0.666	0.368
44.470	11.300	0.663	0.370
44.480	11.326	0.661	0.371
44.490	11.349	0.658	0.372
44.500	11.365	0.656	0.374
44.510	11.375	0.653	0.375
44.520	11.378	0.651	0.376
44.530	11.374	0.648	0.378
44.540	11.365	0.646	0.379
44.550	11.350	0.643	0.380
44.560	11.332	0.641	0.381
44.570	11.311	0.639	0.383
44.580	11.290	0.637	0.384
44.590	11.268	0.635	0.385
44.600	11.247	0.633	0.386
44.610	11.228	0.631	0.387
44.620	11.209	0.629	0.389
44.630	11.193	0.627	0.390
44.640	11.177	0.625	0.391
44.650	11.163	0.623	0.392
44.660	11.149	0.621	0.393
44.670	11.135	0.619	0.394
44.680	11.122	0.618	0.395
44.690	11.109	0.616	0.396
44.700	11.098	0.615	0.397
44.710	11.088	0.613	0.398
44.720	11.080	0.612	0.399
44.730	11.074	0.610	0.400
44.740	11.072	0.609	0.401
44.750	11.072	0.608	0.402
44.760	11.075	0.606	0.403
44.770	11.079	0.605	0.404
44.780	11.084	0.604	0.404
44.790	11.088	0.603	0.405
44.800	11.090	0.602	0.406
44.810	11.087	0.601	0.407
44.820	11.079	0.600	0.408
44.830	11.065	0.599	0.408
44.840	11.043	0.599	0.409
44.850	11.014	0.598	0.410
44.860	10.979	0.597	0.410
44.870	10.938	0.597	0.411
44.880	10.892	0.596	0.411
44.890	10.846	0.596	0.412
44.900	10.800	0.596	0.412
44.910	10.758	0.595	0.413
44.920	10.722	0.595	0.413
44.930	10.694	0.594	0.414
44.940	10.676	0.594	0.414
44.950	10.670	0.594	0.414
44.960	10.674	0.593	0.415
44.970	10.688	0.593	0.415
44.980	10.711	0.593	0.415
44.990	10.740	0.593	0.416
45.000	10.773	0.592	0.416
45.010	10.807	0.592	0.416
45.020	10.837	0.592	0.416
45.030	10.860	0.592	0.416
45.040	10.875	0.592	0.416
45.050	10.878	0.592	0.416
45.060	10.868	0.592	0.417
45.070	10.846	0.592	0.417
45.080	10.810	0.592	0.416
45.090	10.764	0.592	0.416
45.100	10.709	0.592	0.416
45.110	10.649	0.593	0.416
45.120	10.586	0.593	0.416
45.130	10.526	0.593	0.416
45.140	10.472	0.593	0.416
45.150	10.427	0.593	0.416
45.160	10.394	0.594	0.415
45.170	10.376	0.594	0.415
45.180	10.374	0.594	0.415
45.190	10.387	0.594	0.414
45.200	10.416	0.594	0.414
45.210	10.459	0.594	0.414
45.220	10.513	0.594	0.413
45.230	10.575	0.594	0.413
45.240	10.642	0.594	0.412
45.250	10.711	0.594	0.412
45.260	10.779	0.594	0.411
45.270	10.843	0.595	0.410
45.280	10.901	0.595	0.410
45.290	10.952	0.595	0.409
45.300	10.996	0.595	0.409
45.310	11.033	0.596	0.408
45.320	11.063	0.596	0.407
45.330	11.088	0.596	0.406
45.340	11.109	0.597	0.406
45.350	11.127	0.598	0.405
45.360	11.145	0.598	0.404
45.370	11.163	0.599	0.403
45.380	11.181	0.600	0.402
45.390	11.200	0.601	0.401
45.400	11.220	0.602	0.401
45.410	11.239	0.603	0.400
45.420	11.258	0.604	0.399
45.430	11.274	0.606	0.398
45.440	11.288	0.607	0.397
45.450	11.297	0.608	0.396
45.460	11.302	0.610	0.395
45.470	11.303	0.611	0.394
45.480	11.299	0.613	0.392
45.490	11.291	0.615	0.391
45.500	11.281	0.617	0.390
45.510	11.269	0.618	0.389
45.520	11.257	0.620	0.388
45.530	11.245	0.622	0.387
45.540	11.234	0.624	0.385
45.550	11.226	0.626	0.384
45.560	11.219	0.628	0.383
45.570	11.215	0.630	0.382
45.580	11.213	0.632	0.381
45.590	11.212	0.634	0.379
45.600	11.212	0.637	0.378
45.610	11.213	0.639	0.377
45.620	11.214	0.641	0.375
45.630	11.216	0.643	0.374
45.640	11.218	0.645	0.373
45.650	11.222	0.647	0.371
45.660	11.227	0.649	0.370
45.670	11.235	0.651	0.369
45.680	11.245	0.653	0.367
45.690	11.258	0.655	0.366
45.700	11.274	0.658	0.364
45.710	11.293	0.660	0.363
45.720	11.312	0.662	0.362
45.730	11.331	0.664	0.360
45.740	11.348	0.666	0.359
45.750	11.361	0.668	0.357
45.760	11.368	0.670	0.356
45.770	11.368	0.672	0.355
45.780	11.359	0.673	0.353
45.790	11.341	0.675	0.352
45.800	11.315	0.677	0.350
45.810	11.281	0.679	0.349
45.820	11.243	0.681	0.348
45.830	11.201	0.683	0.346
45.840	11.160	0.684	0.345
45.850	11.121	0.686	0.343
45.860	11.088	0.687	0.342
45.870	11.063	0.689	0.341
45.880	11.047	0.690	0.339
45.890	11.040	0.691	0.338
45.900	11.041	0.692	0.336
45.910	11.051	0.693	0.335
45.920	11.066	0.694	0.334
45.930	11.084	0.695	0.332
45.940	11.102	0.696	0.331
45.950	11.119	0.697	0.330
45.960	11.131	0.697	0.328
45.970	11.139	0.698	0.327
45.980	11.141	0.698	0.326
45.990	11.138	0.698	0.324
46.000	11.132	0.699	0.323
46.010	11.125	0.699	0.322
46.020	11.119	0.699	0.321
46.030	11.117	0.699	0.319
46.040	11.120	0.699	0.318
46.050	11.132	0.699	0.317
46.060	11.152	0.698	0.316
46.070	11.181	0.698	0.314
46.080	11.218	0.698	0.313
46.090	11.261	0.697	0.312
46.100	11.308	0.697	0.311
46.110	11.355	0.696	0.310
46.120	11.400	0.695	0.309
46.130	11.440	0.695	0.308
46.140	11.472	0.694	0.307
46.150	11.496	0.693	0.305
46.160	11.511	0.693	0.304
46.170	11.517	0.692	0.303
46.180	11.516	0.691	0.302
46.190	11.510	0.691	0.301
46.200	11.500	0.690	0.300
46.210	11.490	0.689	0.299
46.220	11.481	0.688	0.298
46.230	11.474	0.688	0.297
46.240	11.472	0.687	0.297
46.250	11.473	0.686	0.296
46.260	11.478	0.685	0.295
46.270	11.484	0.685	0.294
46.280	11.490	0.684	0.293
46.290	11.495	0.683	0.292
46.300	11.496	0.682	0.291
46.310	11.492	0.682	0.291
46.320	11.482	0.681	0.290
46.330	11.466	0.680	0.289
46.340	11.446	0.679	0.288
46.350	11.421	0.678	0.288
46.360	11.394	0.678	0.287
46.370	11.368	0.677	0.286
46.380	11.344	0.676	0.285
46.390	11.326	0.675	0.285
46.400	11.314	0.674	0.284
46.410	11.309	0.673	0.284
46.420	11.313	0.673	0.283
46.430	11.324	0.672	0.282
46.440	11.341	0.671	0.282
46.450	11.364	0.670	0.281
46.460	11.389	0.669	0.281
46.470	11.416	0.668	0.280
46.480	11.442	0.667	0.280
46.490	11.467	0.666	0.279
46.500	11.490	0.665	0.279
46.510	11.510	0.664	0.278
46.520	11.527	0.663	0.278
46.530	11.544	0.662	0.278
46.540	11.559	0.662	0.277
46.550	11.575	0.661	0.277
46.560	11.592	0.660	0.277
46.570	11.610	0.659	0.276
46.580	11.629	0.659	0.276
46.590	11.648	0.658	0.276
46.600	11.667	0.657	0.275
46.610	11.684	0.657	0.275
46.620	11.698	0.656	0.275
46.630	11.707	0.656	0.275
46.640	11.710	0.655	0.275
46.650	11.706	0.655	0.274
46.660	11.695	0.655	0.274
46.670	11.678	0.655	0.274
46.680	11.655	0.654	0.274
46.690	11.627	0.654	0.274
46.700	11.595	0.654	0.274
46.710	11.561	0.654	0.274
46.720	11.526	0.654	0.274
46.730	11.489	0.654	0.274
46.740	11.452	0.654	0.274
46.750	11.413	0.654	0.274
46.760	11.373	0.654	0.274
46.770	11.328	0.654	0.274
46.780	11.280	0.654	0.274
46.790	11.227	0.654	0.274
46.800	11.168	0.654	0.274
46.810	11.105	0.654	0.274
46.820	11.039	0.653	0.275
46.830	10.972	0.653	0.275
46.840	10.907	0.653	0.275
46.850	10.848	0.653	0.275
46.860	10.799	0.652	0.275
46.870	10.764	0.652	0.276
46.880	10.745	0.651	0.276
46.890	10.745	0.650	0.276
46.900	10.765	0.649	0.277
46.910	10.805	0.648	0.277
46.920	10.862	0.647	0.277
46.930	10.934	0.646	0.278
46.940	11.015	0.645	0.278
46.950	11.101	0.644	0.278
46.960	11.186	0.643	0.279
46.970	11.265	0.642	0.279
46.980	11.334	0.640	0.280
46.990	11.390	0.639	0.280
47.000	11.431	0.638	0.280
47.010	11.456	0.637	0.281
47.020	11.467	0.636	0.281
47.030	11.466	0.635	0.282
47.040	11.455	0.634	0.282
47.050	11.439	0.633	0.283
47.060	11.420	0.632	0.284
47.070	11.401	0.631	0.284
47.080	11.385	0.631	0.285
47.090	11.371	0.630	0.285
47.100	11.360	0.629	0.286
47.110	11.351	0.629	0.286
47.120	11.341	0.628	0.287
47.130	11.329	0.627	0.288
47.140	11.311	0.627	0.288
47.150	11.287	0.626	0.289
47.160	11.255	0.626	0.290
47.170	11.215	0.625	0.290
47.180	11.170	0.625	0.291
47.190	11.121	0.624	0.292
47.200	11.072	0.624	0.292
47.210	11.025	0.623	0.293
47.220	10.986	0.623	0.294
47.230	10.958	0.622	0.295
47.240	10.941	0.622	0.295
47.250	10.938	0.621	0.296
47.260	10.948	0.620	0.297
47.270	10.969	0.620	0.298
47.280	10.997	0.619	0.298
47.290	11.027	0.618	0.299
47.300	11.055	0.618	0.300
47.310	11.076	0.617	0.301
47.320	11.086	0.617	0.301
47.330	11.080	0.616	0.302
47.340	11.058	0.615	0.303
47.350	11.020	0.615	0.304
47.360	10.968	0.614	0.305
47.370	10.905	0.614	0.305
47.380	10.836	0.613	0.306
47.390	10.768	0.612	0.307
47.400	10.706	0.612	0.308
47.410	10.656	0.611	0.309
47.420	10.621	0.610	0.310
47.430	10.605	0.609	0.310
47.440	10.608	0.608	0.311
47.450	10.630	0.608	0.312
47.460	10.667	0.607	0.313
47.470	10.715	0.606	0.314
47.480	10.769	0.605	0.315
47.490	10.822	0.604	0.315
47.500	10.870	0.603	0.316
47.510	10.907	0.602	0.317
47.520	10.931	0.601	0.318
47.530	10.940	0.600	0.319
47.540	10.934	0.599	0.320
47.550	10.915	0.598	0.320
47.560	10.887	0.597	0.321
47.570	10.853	0.596	0.322
47.580	10.819	0.595	0.323
47.590	10.790	0.594	0.324
47.600	10.771	0.593	0.325
47.610	10.764	0.592	0.325
47.620	10.771	0.592	0.326
47.630	10.792	0.591	0.327
47.640	10.827	0.590	0.328
47.650	10.872	0.589	0.329
47.660	10.923	0.588	0.329
47.670	10.977	0.588	0.330
47.680	11.028	0.587	0.331
47.690	11.072	0.586	0.332
47.700	11.106	0.586	0.333
47.710	11.126	0.585	0.333
47.720	11.133	0.585	0.334
47.730	11.125	0.584	0.335
47.740	11.105	0.584	0.335
47.750	11.074	0.584	0.336
47.760	11.036	0.584	0.337
47.770	10.995	0.584	0.338
47.780	10.953	0.584	0.338
47.790	10.915	0.584	0.339
47.800	10.884	0.584	0.340
47.810	10.861	0.584	0.340
47.820	10.847	0.584	0.341
47.830	10.844	0.584	0.342
47.840	10.851	0.584	0.342
47.850	10.866	0.584	0.343
47.860	10.889	0.584	0.343
47.870	10.918	0.584	0.344
47.880	10.950	0.585	0.345
47.890	10.983	0.585	0.345
47.900	11.016	0.585	0.346
47.910	11.048	0.586	0.346
47.920	11.077	0.586	0.347
47.930	11.102	0.587	0.347
47.940	11.123	0.587	0.348
47.950	11.141	0.588	0.348
47.960	11.155	0.588	0.349
47.970	11.166	0.589	0.349
47.980	11.176	0.590	0.350
47.990	11.185	0.591	0.350
48.000	11.195	0.592	0.351
48.010	11.206	0.592	0.351
48.020	11.221	0.593	0.352
48.030	11.240	0.595	0.352
48.040	11.264	0.596	0.353
48.050	11.294	0.597	0.353
48.060	11.329	0.598	0.353
48.070	11.369	0.599	0.354
48.080	11.414	0.601	0.354
48.090	11.461	0.602	0.354
48.100	11.508	0.604	0.355
48.110	11.555	0.605	0.355
48.120	11.598	0.607	0.355
48.130	11.634	0.609	0.356
48.140	11.663	0.611	0.356
48.150	11.683	0.613	0.356
48.160	11.691	0.615	0.357
48.170	11.689	0.617	0.357
48.180	11.677	0.619	0.357
48.190	11.655	0.621	0.357
48.200	11.626	0.624	0.358
48.210	11.592	0.626	0.358
48.220	11.555	0.629	0.358
48.230	11.519	0.631	0.358
48.240	11.485	0.634	0.358
48.250	11.457	0.636	0.359
48.260	11.435	0.639	0.359
48.270	11.423	0.641	0.359
48.280	11.420	0.644	0.359
48.290	11.427	0.647	0.359
48.300	11.443	0.649	0.360
48.310	11.469	0.652	0.360
48.320	11.503	0.654	0.360
48.330	11.544	0.657	0.360
48.340	11.591	0.659	0.360
48.350	11.643	0.662	0.360
48.360	11.698	0.665	0.360
48.370	11.756	0.667	0.361
48.380	11.814	0.670	0.361
48.390	11.871	0.672	0.361
48.400	11.926	0.675	0.361
48.410	11.975	0.678	0.361
48.420	12.019	0.680	0.361
48.430	12.053	0.683	0.361
48.440	12.076	0.686	0.361
48.450	12.085	0.688	0.361
48.460	12.080	0.691	0.362
48.470	12.060	0.694	0.362
48.480	12.024	0.697	0.362
48.490	11.973	0.700	0.362
48.500	11.909	0.703	0.362
48.510	11.835	0.706	0.362
48.520	11.754	0.708	0.362
48.530	11.670	0.711	0.362
48.540	11.589	0.714	0.362
48.550	11.513	0.716	0.363
48.560	11.448	0.719	0.363
48.570	11.396	0.721	0.363
48.580	11.360	0.723	0.363
48.590	11.341	0.726	0.363
48.600	11.337	0.728	0.363
48.610	11.347	0.730	0.363
48.620	11.368	0.731	0.364
48.630	11.397	0.733	0.364
48.640	11.430	0.734	0.364
48.650	11.461	0.736	0.364
48.660	11.487	0.737	0.364
48.670	11.505	0.738	0.364
48.680	11.512	0.739	0.365
48.690	11.507	0.740	0.365
48.700	11.490	0.741	0.365
48.710	11.461	0.742	0.365
48.720	11.424	0.742	0.365
48.730	11.379	0.743	0.366
48.740	11.331	0.743	0.366
48.750	11.281	0.743	0.366
48.760	11.234	0.743	0.366
48.770	11.190	0.743	0.367
48.780	11.152	0.743	0.367
48.790	11.121	0.742	0.367
48.800	11.097	0.742	0.367
48.810	11.081	0.741	0.368
48.820	11.070	0.740	0.368
48.830	11.065	0.739	0.368
48.840	11.065	0.738	0.368
48.850	11.069	0.737	0.369
48.860	11.077	0.735	0.369
48.870	11.087	0.734	0.369
48.880	11.100	0.732	0.370
48.890	11.116	0.730	0.370
48.900	11.133	0.728	0.370
48.910	11.153	0.726	0.370
48.920	11.174	0.724	0.371
48.930	11.196	0.722	0.371
48.940	11.217	0.720	0.371
48.950	11.238	0.717	0.372
48.960	11.255	0.715	0.372
48.970	11.269	0.712	0.372
48.980	11.279	0.710	0.373
48.990	11.284	0.707	0.373
49.000	11.283	0.704	0.373
49.010	11.279	0.702	0.374
49.020	11.270	0.699	0.374
49.030	11.260	0.696	0.374
49.040	11.248	0.694	0.374
49.050	11.238	0.691	0.375
49.060	11.231	0.688	0.375
49.070	11.227	0.685	0.375
49.080	11.227	0.682	0.376
49.090	11.232	0.680	0.376
49.100	11.240	0.677	0.376
49.110	11.251	0.674	0.376
49.120	11.263	0.671	0.377
49.130	11.273	0.668	0.377
49.140	11.282	0.666	0.377
49.150	11.287	0.663	0.377
49.160	11.288	0.660	0.378
49.170	11.286	0.658	0.378
49.180	11.281	0.655	0.378
49.190	11.276	0.652	0.378
49.200	11.273	0.650	0.378
49.210	11.274	0.647	0.379
49.220	11.284	0.645	0.379
49.230	11.303	0.643	0.379
49.240	11.334	0.640	0.379
49.250	11.378	0.638	0.379
49.260	11.434	0.636	0.379
49.270	11.500	0.634	0.379
49.280	11.573	0.632	0.380
49.290	11.651	0.630	0.380
49.300	11.728	0.629	0.380
49.310	11.800	0.627	0.380
49.320	11.864	0.626	0.380
49.330	11.918	0.625	0.380
49.340	11.958	0.623	0.380
49.350	11.984	0.623	0.380
49.360	11.998	0.622	0.380
49.370	12.002	0.621	0.380
49.380	11.998	0.621	0.380
49.390	11.990	0.621	0.380
49.400	11.982	0.621	0.379
49.410	11.976	0.621	0.379
49.420	11.977	0.622	0.379
49.430	11.984	0.622	0.379
49.440	11.998	0.623	0.379
49.450	12.018	0.624	0.379
49.460	12.041	0.625	0.379
49.470	12.065	0.626	0.378
49.480	12.085	0.627	0.378
49.490	12.098	0.629	0.378
49.500	12.102	0.631	0.378
49.510	12.094	0.633	0.377
49.520	12.073	0.635	0.377
49.530	12.042	0.637	0.377
49.540	12.000	0.639	0.377
49.550	11.953	0.641	0.376
49.560	11.903	0.644	0.376
49.570	11.855	0.646	0.376
49.580	11.814	0.649	0.375
49.590	11.782	0.651	0.375
49.600	11.763	0.654	0.375
49.610	11.756	0.657	0.374
49.620	11.762	0.660	0.374
49.630	11.778	0.663	0.373
49.640	11.802	0.666	0.373
49.650	11.831	0.668	0.373
49.660	11.859	0.671	0.372
49.670	11.884	0.674	0.372
49.680	11.901	0.677	0.371
49.690	11.910	0.680	0.371
49.700	11.909	0.683	0.371
49.710	11.898	0.686	0.370
49.720	11.879	0.690	0.370
49.730	11.856	0.693	0.369
49.740	11.830	0.696	0.369
49.750	11.805	0.699	0.368
49.760	11.785	0.702	0.368
49.770	11.772	0.705	0.368
49.780	11.767	0.708	0.367
49.790	11.771	0.711	0.367
49.800	11.783	0.714	0.366
49.810	11.801	0.716	0.366
49.820	11.823	0.719	0.365
49.830	11.847	0.722	0.365
49.840	11.869	0.725	0.365
49.850	11.888	0.727	0.364
49.860	11.903	0.730	0.364
49.870	11.912	0.732	0.363
49.880	11.916	0.735	0.363
49.890	11.917	0.737	0.363
49.900	11.916	0.740	0.362
49.910	11.915	0.742	0.362
49.920	11.917	0.744	0.361
49.930	11.921	0.746	0.361
49.940	11.930	0.749	0.361
49.950	11.941	0.751	0.360
49.960	11.954	0.753	0.360
49.970	11.967	0.755	0.360
49.980	11.976	0.756	0.359
49.990	11.977	0.758	0.359
50.000	11.969	0.760	0.359
50.010	11.947	0.762	0.358
50.020	11.910	0.763	0.358
50.030	11.859	0.765	0.358
50.040	11.794	0.766	0.358
50.050	11.718	0.767	0.357
50.060	11.635	0.768	0.357
50.070	11.549	0.770	0.357
50.080	11.466	0.770	0.357
50.090	11.391	0.771	0.356
50.100	11.328	0.772	0.356
50.110	11.281	0.772	0.356
50.120	11.251	0.772	0.356
50.130	11.239	0.772	0.356
50.140	11.244	0.772	0.356
50.150	11.263	0.772	0.355
50.160	11.292	0.771	0.355
50.170	11.327	0.771	0.355
50.180	11.363	0.770	0.355
50.190	11.396	0.769	0.355
50.200	11.422	0.768	0.355
50.210	11.439	0.766	0.355
50.220	11.446	0.765	0.355
50.230	11.443	0.763	0.355
50.240	11.432	0.762	0.355
50.250	11.416	0.760	0.355
50.260	11.396	0.758	0.355
50.270	11.376	0.756	0.355
50.280	11.360	0.754	0.355
50.290	11.348	0.752	0.355
50.300	11.343	0.750	0.355
50.310	11.345	0.747	0.355
50.320	11.354	0.745	0.355
50.330	11.369	0.742	0.355
50.340	11.387	0.740	0.355
50.350	11.408	0.737	0.356
50.360	11.429	0.734	0.356
50.370	11.449	0.732	0.356
50.380	11.467	0.729	0.356
50.390	11.483	0.726	0.356
50.400	11.498	0.723	0.356
50.410	11.512	0.720	0.356
50.420	11.526	0.717	0.357
50.430	11.543	0.714	0.357
50.440	11.562	0.711	0.357
50.450	11.585	0.708	0.357
50.460	11.612	0.705	0.357
50.470	11.641	0.702	0.357
50.480	11.672	0.699	0.358
50.490	11.703	0.696	0.358
50.500	11.733	0.694	0.358
50.510	11.759	0.691	0.358
50.520	11.779	0.688	0.358
50.530	11.794	0.686	0.358
50.540	11.803	0.683	0.359
50.550	11.805	0.681	0.359
50.560	11.804	0.678	0.359
50.570	11.800	0.676	0.359
50.580	11.797	0.674	0.359
50.590	11.796	0.672	0.359
50.600	11.800	0.669	0.360
50.610	11.811	0.668	0.360
50.620	11.829	0.666	0.360
50.630	11.855	0.664	0.360
50.640	11.887	0.662	0.360
50.650	11.923	0.661	0.360
50.660	11.962	0.660	0.361
50.670	12.000	0.658	0.361
50.680	12.034	0.657	0.361
50.690	12.062	0.656	0.361
50.700	12.083	0.655	0.361
50.710	12.095	0.655	0.361
50.720	12.099	0.654	0.361
50.730	12.095	0.654	0.361
50.740	12.085	0.653	0.362
50.750	12.073	0.653	0.362
50.760	12.060	0.653	0.362
50.770	12.049	0.653	0.362
50.780	12.042	0.654	0.362
50.790	12.039	0.654	0.362
50.800	12.042	0.655	0.362
50.810	12.049	0.655	0.362
50.820	12.059	0.656	0.362
50.830	12.069	0.657	0.362
50.840	12.078	0.658	0.362
50.850	12.082	0.659	0.362
50.860	12.080	0.660	0.362
50.870	12.071	0.661	0.362
50.880	12.055	0.663	0.362
50.890	12.032	0.664	0.362
50.900	12.005	0.666	0.362
50.910	11.975	0.667	0.362
50.920	11.947	0.669	0.362
50.930	11.922	0.671	0.363
50.940	11.905	0.673	0.363
50.950	11.897	0.674	0.363
50.960	11.899	0.676	0.363
50.970	11.910	0.678	0.363
50.980	11.930	0.680	0.362
50.990	11.955	0.682	0.362
51.000	11.982	0.684	0.362
51.010	12.007	0.686	0.362
51.020	12.027	0.688	0.362
51.030	12.038	0.691	0.362
51.040	12.037	0.693	0.362
51.050	12.024	0.695	0.362
51.060	11.998	0.697	0.362
51.070	11.962	0.700	0.362
51.080	11.918	0.702	0.362
51.090	11.870	0.704	0.362
51.100	11.822	0.706	0.362
51.110	11.778	0.708	0.362
51.120	11.741	0.711	0.362
51.130	11.714	0.713	0.362
51.140	11.698	0.715	0.362
51.150	11.693	0.717	0.362
51.160	11.696	0.719	0.362
51.170	11.706	0.721	0.362
51.180	11.717	0.723	0.362
51.190	11.726	0.724	0.362
51.200	11.728	0.726	0.362
51.210	11.720	0.728	0.362
51.220	11.699	0.729	0.362
51.230	11.663	0.731	0.362
51.240	11.614	0.732	0.363
51.250	11.554	0.733	0.363
51.260	11.485	0.735	0.363
51.270	11.413	0.736	0.363
51.280	11.341	0.737	0.363
51.290	11.276	0.738	0.363
51.300	11.222	0.738	0.363
51.310	11.183	0.739	0.363
51.320	11.161	0.739	0.363
51.330	11.157	0.740	0.363
51.340	11.171	0.740	0.363
51.350	11.200	0.740	0.363
51.360	11.242	0.740	0.364
51.370	11.293	0.739	0.364
51.380	11.349	0.739	0.364
51.390	11.404	0.738	0.364
51.400	11.457	0.738	0.364
51.410	11.503	0.737	0.364
51.420	11.540	0.736	0.364
51.430	11.567	0.735	0.364
51.440	11.584	0.734	0.365
51.450	11.592	0.733	0.365
51.460	11.591	0.732	0.365
51.470	11.583	0.731	0.365
51.480	11.570	0.730	0.365
51.490	11.554	0.729	0.366
51.500	11.535	0.728	0.366
51.510	11.514	0.726	0.366
51.520	11.493	0.725	0.366
51.530	11.472	0.724	0.366
51.540	11.451	0.722	0.367
51.550	11.430	0.721	0.367
51.560	11.410	0.719	0.367
51.570	11.392	0.717	0.367
51.580	11.376	0.716	0.367
51.590	11.364	0.714	0.368
51.600	11.356	0.712	0.368
51.610	11.353	0.710	0.368
51.620	11.356	0.709	0.368
51.630	11.365	0.707	0.368
51.640	11.381	0.705	0.369
51.650	11.402	0.703	0.369
51.660	11.426	0.701	0.369
51.670	11.452	0.699	0.369
51.680	11.476	0.697	0.370
51.690	11.497	0.695	0.370
51.700	11.511	0.693	0.370
51.710	11.517	0.691	0.370
51.720	11.512	0.689	0.370
51.730	11.496	0.687	0.371
51.740	11.470	0.685	0.371
51.750	11.434	0.683	0.371
51.760	11.391	0.681	0.371
51.770	11.342	0.679	0.371
51.780	11.293	0.677	0.372
51.790	11.244	0.675	0.372
51.800	11.200	0.674	0.372
51.810	11.162	0.672	0.372
51.820	11.133	0.670	0.372
51.830	11.111	0.668	0.372
51.840	11.097	0.666	0.372
51.850	11.089	0.664	0.373
51.860	11.085	0.662	0.373
51.870	11.082	0.660	0.373
51.880	11.078	0.658	0.373
51.890	11.070	0.656	0.373
51.900	11.056	0.654	0.373
51.910	11.036	0.652	0.373
51.920	11.011	0.650	0.373
51.930	10.981	0.648	0.373
51.940	10.949	0.646	0.374
51.950	10.918	0.644	0.374
51.960	10.892	0.642	0.374
51.970	10.874	0.640	0.374
51.980	10.867	0.638	0.374
51.990	10.875	0.636	0.374
52.000	10.898	0.634	0.374
52.010	10.936	0.632	0.374
52.020	10.989	0.630	0.374
52.030	11.055	0.628	0.374
52.040	11.129	0.626	0.374
52.050	11.208	0.624	0.373
52.060	11.288	0.622	0.373
52.070	11.363	0.621	0.373
52.080	11.431	0.619	0.373
52.090	11.487	0.618	0.373
52.100	11.530	0.616	0.373
52.110	11.560	0.615	0.373
52.120	11.575	0.614	0.373
52.130	11.579	0.613	0.372
52.140	11.573	0.612	0.372
52.150	11.561	0.611	0.372
52.160	11.546	0.611	0.372
52.170	11.532	0.610	0.372
52.180	11.522	0.610	0.371
52.190	11.519	0.610	0.371
52.200	11.524	0.610	0.371
52.210	11.538	0.610	0.370
52.220	11.561	0.610	0.370
52.230	11.591	0.610	0.370
52.240	11.627	0.610	0.370
52.250	11.665	0.611	0.369
52.260	11.704	0.612	0.369
52.270	11.741	0.612	0.368
52.280	11.774	0.613	0.368
52.290	11.801	0.614	0.368
52.300	11.820	0.615	0.367
52.310	11.832	0.617	0.367
52.320	11.838	0.618	0.366
52.330	11.838	0.620	0.366
52.340	11.835	0.622	0.365
